"Bären,Hauptstrasse 18, Utzenstorf, 3427, 瑞士"
"Restaurant du Quai,Le Quai 10, Hermance, 1248, 瑞士"
"Auberge de la Croix d'Or, Grande-Rue 18, Yens, 1169, 瑞士"
"昭明海產家庭料理,前金區自強一路53號, Kaohsiung, 臺灣"
"廖記米糕,橋頭區橋南路119號, Kaohsiung, 臺灣"
"老新台菜 (九如二路),三民區九如二路227號, Kaohsiung, 臺灣"
"雙月食品 (青島東路),中正區青島東路6之2號, Taipei, 100, 臺灣"
"誠實鍋燒意麵,中西區西門路一段702巷12號, Tainan, 臺灣"
"雄記蔥抓餅,中正區羅斯福路四段108巷2號 (公館夜市), Taipei, 臺灣"
"楊寶寶蒸餃 (朝明路),楠梓區朝明路106號, Kaohsiung, 814, 臺灣"
"泰姬,大安區市民大道四段48巷1號, Taipei, 106, 臺灣"
"清真中國牛肉麵食館 (大安),大安區延吉街137巷7弄1號, Taipei, 106, 臺灣"
"磐石坊,大安區樂利路15號, Taipei, 臺灣"
"范記金之園 (中區),中區成功路170號, Taichung, 400, 臺灣"
"番紅花印度美饌,士林區天母東路38之6號, Taipei, 111, 臺灣"
"賣麵炎仔,大同區安西街106號, Taipei, 103, 臺灣"
"夜間部爌肉飯,西區精誠路109號, Taichung, 臺灣"
"北港蔡三代筒仔米糕 (鹽埕),鹽埕區河西路166號, Kaohsiung, 臺灣"
"醉楓園小館,松山區八德路三段8巷5號, Taipei, 105, 臺灣"
"欣葉小聚,南港區經貿二路166號 (中國信託金融園區A棟), Taipei, 115, 臺灣"
"隱食家,中山區雙城街28巷8號, Taipei, 臺灣"
"裡小樓,西屯區西屯路２段293巷50號, Taichung, 臺灣"
"吾旺再季,中正區中華路二段313巷29號 (南機場夜市), Taipei, 100, 臺灣"
"黑琵食堂,七股區十份里海埔17之18號, Tainan, 臺灣"
"巷子龍家常菜,大安區四維路25號, Taipei, 臺灣"
"曙光居,西屯區大墩18街104號, Taichung, 臺灣"
"阿星鹹粥,中西區民族路三段289號, Tainan, 臺灣"
"弘記肉燥飯舖,左營區立文路96號, Kaohsiung, 臺灣"
"侯記鴨肉飯,三民區自強一路201號, Kaohsiung, 臺灣"
"鮮魚鱻,北區北屯路75號, Taichung, 臺灣"
"富狀元豬腳,西區美村路一段203號, Taichung, 403, 臺灣"
"天下三絕,大安區仁愛路四段27巷3號, Taipei, 106, 臺灣"
"富貴亭,中區三民路二段18巷31號, Taichung, 400, 臺灣"
"一味品, 中西區國華街三段177-179號 (永樂市場攤號111及112), Tainan, 臺灣"
"元味料理,大同區華陰街227巷2號, Taipei, 臺灣"
"茂園,中山區長安東路二段185號, Taipei, 104, 臺灣"
"開元紅燒土魠魚羮,北區開元路307號, Tainan, 臺灣"
"西羅殿牛肉湯,北區公園南路98號, Tainan, 臺灣"
"木公麥面,東區富貴街37號, Taichung, 臺灣"
"橋仔頭黃家肉燥飯 (橋頭),橋頭區橋南路106號, Kaohsiung, 臺灣"
"老爺美食館 (鳳山), 鳳山區海洋一路54-56號, Kaohsiung, 臺灣"
"小品雅廚,中山區中原街130號, Taipei, 臺灣"
"牛老大涮牛肉 (自強二路),前金區自強二路18號, Kaohsiung, 臺灣"
"秀明豬心冬粉,旗山區永平街41號, Kaohsiung, 臺灣"
"富鼎旺 (中區),中區臺灣大道一段560號, Taichung, 400, 臺灣"
"大勇街無名鹹粥,中西區大勇街85號, Tainan, 臺灣"
"三好一公道當歸鴨,中西區府前路一段2號, Tainan, 臺灣"
"祥和蔬食 (中正),中正區鎮江街1巷1號, Taipei, 100, 臺灣"
"昶鴻麵點,萬華區華西街15號171號攤 (華西街夜市), Taipei, 108, 臺灣"
"Apis Grill,三民區褒揚東街80號, Kaohsiung, 臺灣"
"小王煮瓜,萬華區華西街17之4號153號攤 (華西街夜市), Taipei, 臺灣"
"Pàng,大安區文昌街181號, Taipei, 臺灣"
"湖東牛肉館,湖內區中山路一段107號, Kaohsiung, 臺灣"
"正宗鴨肉飯,左營區裕誠路245號, Kaohsiung, 臺灣"
"阿美飯店,中西區民權路二段98號, Tainan, 臺灣"
"賣塩順,鼓山區青海路173號, Kaohsiung, 臺灣"
"米院子油飯,新興區南海街30號, Kaohsiung, 臺灣"
"阿文米粿,中西區保安路74號, Tainan, 臺灣"
"台中肉員,南區復興路三段529號, Taichung, 402, 臺灣"
"羅家古早味 (南屯),南屯區向上路三段65號, Taichung, 臺灣"
"阿香的廚房,美濃區中山路二段629號, Kaohsiung, 臺灣"
"源芳刈包,萬華區華西街17之2號161號攤 (華西街夜市), Taipei, 108, 臺灣"
"軟食力,中山區民權東路二段135巷30弄21號, Taipei, 臺灣"
"可口牛肉麵,西屯區大墩路911號, Taichung, 臺灣"
"筑馨居,中西區信義街69號, Tainan, 臺灣"
"吃麵吧,中西區保安路159之1號, Tainan, 臺灣"
"阿坤麵,中區平等街142號, Taichung, 400, 臺灣"
"心潮飯店,信義區忠孝東路五段68號2樓 (微風信義), Taipei, 110, 臺灣"
"沁園春 (中區),中區臺灣大道一段129號, Taichung, 400, 臺灣"
"榮榮園,大安區信義路四段25號, Taipei, 106, 臺灣"
"好菜 (西區),西區模範街24巷1號, Taichung, 臺灣"
"阿城鵝肉 (中山),台北市中山區吉林路162號, Taipei, 104, 臺灣"
"黃記魯肉飯,中山區中山北路二段183巷28號, Taipei, 臺灣"
"小小樹食 (大安路),大安區大安路一段116巷17號, Taipei, 臺灣"
"好農家米糕,南區健康路二段66號, Tainan, 臺灣"
"牛稼莊,東勢區新豐街19號, Taichung, 臺灣"
"老士官擀麵,清水區鎮南街81之12號, Taichung, 臺灣"
"無名羊肉湯,中西區府前路二段144號, Tainan, 臺灣"
"都一處 (信義),信義區仁愛路四段506號, Taipei, 110, 臺灣"
"泰元,苓雅區苓雅二路53號, Kaohsiung, 臺灣"
"大橋頭老牌筒仔米糕 (延平北路),大同區延平北路三段41號, Taipei, 臺灣"
"鍾家原上海生煎包,士林區小東街38號 (士林夜市), Taipei, 臺灣"
"彭城堂,太平區宜昌路377號, Taichung, 411, 臺灣"
"舊市羊肉 (岡山),岡山區河華路111號, Kaohsiung, 820, 臺灣"
"小燉食室,前鎮區廣西路226號, Kaohsiung, 臺灣"
"良佳豬腳,三民區陽明路229號, Kaohsiung, 臺灣"
"老山東牛肉家常麵店,萬華區西寧南路70號B1之15室 (萬年商業大樓), Taipei, 108, 臺灣"
"鼎泰豐 (信義路),大安區信義路二段277號, Taipei, 110, 臺灣"
"小公園擔仔麵,中西區西門路二段321號, Tainan, 臺灣"
"小初店,南屯區大業路243號, Taichung, 臺灣"
"沙卡,大雅區中山路大同巷9弄7號, Taichung, 臺灣"
"田媽媽 長盈海味屋,北門區三寮灣慈安里484號, Tainan, 727, 臺灣"
"雞家莊 (長春路),中山區長春路55號, Taipei, 104, 臺灣"
"葉桑生炒鴨肉焿,東區林森路二段216號, Tainan, 臺灣"
"落成米糕,中西區民族路二段241號, Tainan, 臺灣"
"小酌之家,中山區吉林路420號, Taipei, 臺灣"
"東香台菜海味料理,安南區安中路六段217號, Tainan, 臺灣"
"永通虱目魚粥,學甲區民權路60號, Tainan, 臺灣"
"福泰飯桌第三代,中西區民族路二段219號, Tainan, 臺灣"
"鳳記鵝肉老店,沙鹿區屏西路170號, Taichung, 臺灣"
"麥謎食驗室,中西區青年路90號, Tainan, 臺灣"
"麵鋪,信義區虎林街232巷75號, Taipei, 臺灣"
"博仁堂,中西區西門路二段300巷27號, Tainan, 臺灣"
"杭州小籠湯包 (大安),大安區杭州南路二段17及19號, Taipei, 106, 臺灣"
"阿興虱目魚,北區文賢路252號, Tainan, 臺灣"
"尚好吃牛肉湯,北區北安路一段6號, Tainan, 臺灣"
"添厚,中西區新美街125巷3號, Tainan, 臺灣"
"菜粽李,苓雅區成功一路159號, Kaohsiung, 臺灣"
"鮮蒸蝦仁肉圓,東區裕農路609號, Tainan, 臺灣"
"Tacos Oscar,420 40th St., Oakland, 94609, 美國"
"Molti Amici,330 Healdsburg Ave., Healdsburg, 95448, 美國"
"Grá,1524 Pizarro St., Los Angeles, 90026, 美國"
"八寶彬圓仔惠 (國華街),中西區國華街二段99號, Tainan, 臺灣"
"Coni'Seafood,3544 W. Imperial Hwy., Inglewood, 90303, 美國"
"Mae Malai Thai House of Noodles,5445 Hollywood Blvd., Unit A, Los Angeles, 90027, 美國"
"Cedro Italian Restaurant,2385 Michael Dr., Newbury Park, 91320, 美國"
"Ippuku,2130 Center St., Berkeley, 94704, 美國"
"Orchard City Kitchen,1875 S. Bascom Ave., Ste. 190, Campbell, 95008, 美國"
"FOB Kitchen,5179 Telegraph Ave., Oakland, 94609, 美國"
"Jiang Nan Spring,910 E. Main St., Alhambra, 91801, 美國"
"Ciccia Osteria,2233 Logan Ave., San Diego, 92113, 美國"
"Cesarina,4161 Voltaire St., San Diego, 92107, 美國"
"Nixtaco,1805 Cirby Way, Ste. 12, Roseville, 95661, 美國"
"Tsubaki,1356 Allison Ave., Los Angeles, 90026, 美國"
"Playa,41 Throckmorton Ave., Mill Valley, 94941, 美國"
"New Dumpling,10064 San Pablo Ave., El Cerrito, 94530, 美國"
"Morning Glory,550 W. Date St., San Diego, 92101, 美國"
"The Bywater,532 N. Santa Cruz Ave., Los Gatos, 95030, 美國"
"Corazon Cocina,38 W. Victoria St., Santa Barbara, 93101, 美國"
"La Calenda,6518 Washington St., Yountville, 94599, 美國"
"Bee Taqueria,5754 W. Adams Blvd., Los Angeles, 90016, 美國"
"Ramen & Tsukemen TAO,10488 Valley View St., Buena Park, 90620, 美國"
"Ciccio,6770 Washington St., Yountville, 94599, 美國"
"iTalico,341 California Ave., Palo Alto, 94306, 美國"
"Fable & Spirit,3441 Via Lido, Ste. A, Newport Beach, 92663, 美國"
"Cucina Urbana,505 Laurel St., San Diego, 92101, 美國"
"El Molino Central,11 Central Ave., Sonoma, 95476, 美國"
"Flavors from Afar,5652 Hollywood Blvd., Los Angeles, 90028, 美國"
"Yank Sing,101 Spear St., San Francisco, 94105, 美國"
"Sushi Ran,107 Caledonia St., Sausalito, 94965, 美國"
"Eat Joy Food,18888 Labin Ct., Rowland Heights, 91748, 美國"
"Dija Mara,232 S. Coast Hwy., Oceanside, 92054, 美國"
"Carnes Asadas Pancho Lopez,3328 Pasadena Ave., Los Angeles, 90031, 美國"
"LOLA 55,1290 F St., San Diego, 92101, 美國"
"CHAAK Kitchen,215 El Camino Real, Tustin, 92780, 美國"
"Snail Bar,4935 Shattuck Ave., Oakland, 94609, 美國"
"Pizzeria Bianco,1320 E. 7th St., Los Angeles, 90021, 美國"
"Father’s Office,3229 Helms Ave., Los Angeles, 90034, 美國"
"Bansang,1560 Fillmore St., San Francisco, 94115, 美國"
"Comal,2020 Shattuck Ave., Berkeley, 94704, 美國"
"La Azteca,4538 E. Cesar E Chavez Ave., Los Angeles, 90022, 美國"
"Dai Ho,9148 Las Tunas Dr., Temple City, 91780, 美國"
"peasants FEAST,487 Atterdag Rd., Solvang, 93463, 美國"
"Kettner Exchange,2001 Kettner Blvd., San Diego, 92101, 美國"
"Colapasta,1241 5th St., Santa Monica, 90401, 美國"
"Soba Ichi,2311A Magnolia St., Oakland, 94607, 美國"
"Anchor Oyster Bar,579 Castro St., San Francisco, 94114, 美國"
"Langer's,704 S. Alvarado St., Los Angeles, 90057, 美國"
"Los Carnalitos,30200 Industrial Pkwy. S.W., Hayward, 94544, 美國"
"Taquería El Paisa,4610 International Blvd., Oakland, 94601, 美國"
"Rocio's Mexican Kitchen,7891 Garfield Ave., Bell Gardens, 90201, 美國"
"Union,37 Union St., Pasadena, 91103, 美國"
"Jon & Vinny’s,412 N. Fairfax Ave., Los Angeles, 90036, 美國"
"Sichuan Impression,235 W. Main St., Ste. B, Alhambra, 91801, 美國"
"Range Life,2160 Railroad Ave., Livermore, 94550, 美國"
"Kismet,4648 Hollywood Blvd., Los Angeles, 90027, 美國"
"Sichuan Home,5037 Geary Blvd., San Francisco, 94118, 美國"
"Flores,2030 Union St., San Francisco, 94123, 美國"
"Maccheroni Republic,332 S. Broadway, Los Angeles, 90013, 美國"
"LaoXi Noodle House,600 Live Oak Ave., Arcadia, 91006, 美國"
"Mariscos Jalisco,753 E. Holt Ave., Pomona, 91767, 美國"
"Outerlands,4001 Judah St., San Francisco, 94122, 美國"
"Village Sake,19 Bolinas Rd., Fairfax, 94930, 美國"
"Okane,669 Townsend St., San Francisco, 94103, 美國"
"Pig in a Pickle,341 Corte Madera Town Centre, Corte Madera, 94925, 美國"
"Pizzeria Mozza,641 N. Highland Ave., Los Angeles, 90036, 美國"
"Luscious Dumplings,919 W. Duarte Rd., Monrovia, 91016, 美國"
"Longo Seafood,7540 Garvey Ave., Rosemead, 91770, 美國"
"Glen Ellen Star,13648 Arnold Dr., Glen Ellen, 95442, 美國"
"Khom Loi,7385 Healdsburg Ave., Sebastopol, 95472, 美國"
"Trestle,531 Jackson St., San Francisco, 94133, 美國"
"Yue Huang,3860 Truxel Rd., Sacramento, 95834, 美國"
"Z & Y,655 Jackson St., San Francisco, 94133, 美國"
"Yafa, Junipero St., Carmel-by-the-Sea, 93923, 美國"
"Pollo a la Brasa,764 S. Western Ave., Los Angeles, 90005, 美國"
"Izakaya Rintaro,82 14th St., San Francisco, 94103, 美國"
"Maligne,600 Broadway Ave., Seaside, 93955, 美國"
"Jo's Modern Thai,3725 MacArthur Blvd., Oakland, 94619, 美國"
"Pine & Crane,1521 Griffith Park Blvd., Los Angeles, 90026, 美國"
"Sama Sama Kitchen,1208 State St., Santa Barbara, 93101, 美國"
"Chengdu Taste,828 W. Valley Blvd., Alhambra, 91803, 美國"
"A16,2355 Chestnut St., San Francisco, 94123, 美國"
"Heritage Barbecue,31721 Camino Capistrano, San Juan Capistrano, 92675, 美國"
"Mentone,174 Aptos Village Way, Aptos, 95003, 美國"
"Moo's Craft Barbecue,2118 N. Broadway, Los Angeles, 90031, 美國"
"Pizzana,11712 San Vicente Blvd., Los Angeles, 90049, 美國"
"China Village,1335 Solano Ave., Albany, 94706, 美國"
"Mabel’s Gone Fishing,3770 30th St., San Diego, 92104, 美國"
"Dha Rae Oak,1106 S. Western Ave., Los Angeles, 90006, 美國"
"Bombera,3459 Champion St., Oakland, 94602, 美國"
"Adana Restaurant,6918 San Fernando Rd., Glendale, 91201, 美國"
"Sea Harbour,3939 Rosemead Blvd., Rosemead, 91770, 美國"
"Dumpling Home,298 Gough St., San Francisco, 94102, 美國"
"Valley,487 1st St. W., Sonoma, 95476, 美國"
"Horn Barbecue,2534 Mandela Pkwy., Oakland, 94607, 美國"
"Phở 79,9941 Hazard Ave., Garden Grove, 92844, 美國"
"Loquita,202 State St., Santa Barbara, 93101, 美國"
"Stockhome,220 Western Ave., Petaluma, 94952, 美國"
"Liu's Cafe,3915 1/2 W. 6th St., Los Angeles, 90020, 美國"
"Ramen Gaijin,6948 Sebastopol Ave., Sebastopol, 95472, 美國"
"Lunasia Dim Sum House,500 W. Main St., Alhambra, 91801, 美國"
"MAMA Oakland,388 Grand Ave., Oakland, 94610, 美國"
"Frank Fat’s,806 L St., Sacramento, 95814, 美國"
"Pausa,223 E. 4th Ave., San Mateo, 94401, 美國"
"Canon,1719 34th St., Sacramento, 95816, 美國"
"Teni East Kitchen,4015 Broadway, Oakland, 94611, 美國"
"Great China,2190 Bancroft Way, Berkeley, 94704, 美國"
"Millennium,5912 College Ave., Oakland, 94618, 美國"
"Del Popolo,855 Bush St., San Francisco, 94108, 美國"
"Bettina,1014 Coast Village Rd., Santa Barbara, 93108, 美國"
"Insalata's,120 Sir Francis Drake Blvd., San Anselmo, 94960, 美國"
"The Factory Kitchen,1300 Factory Pl., Ste. 101, Los Angeles, 90013, 美國"
"FolkTable,23584 Arnold Dr., Sonoma, 95476, 美國"
"Spinning Bones,1205 Park St., Alameda, 94501, 美國"
"Luna Mexican Kitchen,1495 The Alameda, San Jose, 95126, 美國"
"Chifa,4374 Eagle Rock Blvd., Los Angeles, 90041, 美國"
"Top Hatters Kitchen,855 Macarthur Blvd., San Leandro, 94577, 美國"
"Lola Gaspar,211 W. 2nd St., Santa Ana, 92701, 美國"
"Little Fish,1606 W. Sunset Blvd., Los Angeles, 90026, 美國"
"Khan Saab Desi Craft Kitchen,229 E. Commonwealth Ave., Fullerton, 92832, 美國"
"Amor y Tacos,13333 South St., Cerritos, 90703, 美國"
"Ipoh Kopitiam,1411 S. Garfield Ave., Alhambra, 91801, 美國"
"Quarter Sheets,1305 Portia St., Los Angeles, 90026, 美國"
"Wood Tavern,6317 College Ave., Oakland, 94618, 美國"
"Petiscos,399 S. 1st St., San Jose, 95113, 美國"
"Villa's Tacos,5455 N. Figueroa St., Los Angeles, 90042, 美國"
"Lalibela,1025 S. Fairfax Ave., Los Angeles, 90019, 美國"
"Callie,1195 Island Ave., San Diego, 92101, 美國"
"Pijja Palace,2711 Sunset Blvd., Los Angeles, 90026, 美國"
"Indya by Vineet,Le Royal Meridien Beach Resort & Spa Hotel, Al Mamsha Street, 杜拜"
"Good Good Culture Club,3560 18th St., San Francisco, 94110, 美國"
"Hoe Lee Kow,Building 4, Dubai Hills Estate Business Park, Dubai Hills, 杜拜"
"Manohar’s Delhi Palace,581 Azusa Way, La Puente, 91744, 美國"
"3Fils,Shop 02, Jumeirah Fishing Harbour 1, Al Urouba St​reet, 杜拜"
"Cobi's,2104 Main St., Santa Monica, 90405, 美國"
"Revelry,Building 1, Dubai Hills Estate Business Park, Dubai Hills, 杜拜"
"REIF Japanese Kushiyaki, Unit 70, Dar Wasl Mall, Al Wasl Road, 杜拜"
"DUO Gastrobar,Building 4, Dubai Hills Estate Business Park, Dubai Hills, 杜拜"
"Bait Maryam,Cluster D Jumeirah Lakes Towers, 杜拜"
"Goldfish,Galleria Mall, Al Wasl Road, Jumeirah 1, 杜拜"
"21 Grams,2nd Floor, Meyan Mall, Al Thanya Street, 杜拜"
"Aamara, 2nd Floor, VOCO Hotel, Sheikh Zayed Rd – Trade Centre 1, 杜拜"
"Ibn Albahr,Club Vista Mare, Palm Jumeirah, 杜拜"
"Berenjak, Dar Wasl Mall - Shop 01 - Al Wasl Rd - Al Wasl, 杜拜"
"Konjiki Hototogisu, Mall Of Emirates - 2nd Level, 杜拜"
"Shabestan,Baniyas Road, Deira Creek, 杜拜"
"REIF Japanese Kushiyaki, Building 3, Dubai Hills Estate Business Park, Dubai Hills, 杜拜"
"Al Khayma Heritage Restaurant,Al Fahidi Historical Neighbourhood, 杜拜"
"Bánh Xèo Tôm Nhảy Cô Ba,248 Trung Nu Vuong Street, Binh Thuan Ward, Hai Chau District, Da Nang, 越南"
"Bò Kho Gánh,029 Lot H, Ngo Gia Tu Apartment, Su Van Hanh Street, Ward 2, District 10, Ho Chi Minh City, 700000, 越南"
"Kinoya,The Onyx Tower 2, Sheikh Zayed Road, 杜拜"
"Teible,Jameel Arts Centre, Jaddaf Waterfront, 杜拜"
"Miến Lươn Đông Thịnh,87 Hang Dieu Street, Cua Dong Ward, Hoan Kiem District, Hanoi, 越南"
"Nhà Tú,129/4 Vo Van Tan Street, Vo Thi Sau Ward, District 3, Ho Chi Minh City, 越南"
"Bún Chả Cá 109,109 Nguyen Chi Thanh Street, Hai Chau 1 Ward, Hai Chau District, Da Nang, 550000, 越南"
"Phở Miến Gà Kỳ Đồng,14/5 Bis Ky Dong Street, Ward 9, District 3, Ho Chi Minh City, 700000, 越南"
"Bún Chả Chan,114 Mai Hac De Street, Le Dai Hanh Ward, Hai Ba Trung District, Hanoi, 越南"
"Bún Chả Cá Hờn,113/03 Nguyen Chi Thanh Street, Hai Chau 1 Ward, Hai Chau District, Da Nang, 550000, 越南"
"Quán Nhân,83 Phan Tu Street, My An Ward, Ngu Hanh Son District, Da Nang, 550000, 越南"
"Phở Khôi Hói,50 Hang Vai Street, Hang Bo Ward, Hoan Kiem District, Hanoi, 越南"
"The East,5B Tong Duy Tan Street, Hang Bong Ward, Hoan Kiem District, Hanoi, 越南"
"Xôi Bát,8 Hoang Hoa Tham Street, Ward 7, Binh Thanh District, Ho Chi Minh City, 越南"
"Bánh Xèo 46A,46 Dinh Cong Trang Street, Tan Dinh Ward, District 1, Ho Chi Minh City, 越南"
"Ngọc Chi,202 Hoang Dieu Street, Nam Duong Ward, Hai Chau District, Da Nang, 越南"
"Bà Đông,145 Huynh Thuc Khang Street, Binh Hien Ward, Hai Chau District, Da Nang, 550000, 越南"
"Phở Hương Bình,148 Vo Thi Sau Street, Ward 8, District 3, Ho Chi Minh City, 越南"
"Mặn Mòi (Thu Duc City),32 D11 Street, Thao Dien Ward, Thu Duc City, Ho Chi Minh City, 越南"
"Bun Cha Ta (Nguyen Huu Huan Street),21 Nguyen Huu Huan Street, Ly Thai To Ward, Hoan Kiem District, Hanoi, 100000, 越南"
"Phở Lệ (District 5), 413-415 Nguyen Trai Street, Ward 7, District 5, Ho Chi Minh City, 越南"
"Phở Phượng,25 Hoang Sa Street, Da Kao Ward, District 1, Ho Chi Minh City, 越南"
"Chào Bạn,98 To Ngoc Van Street, Quang An Ward, Tay Ho District, Hanoi, 越南"
"Phở Gia Truyền (Hoan Kiem),49 Bat Dan Street, Cua Dong Ward, Hoan Kiem District, Hanoi, 越南"
"Ăn Thôi,114 Bach Dang Street, Hai Chau 1 Ward, Hai Chau District, Da Nang, 550000, 越南"
"Thìa Gỗ ,53 Phan Thuc Duyen Street, My An Ward, Ngu Hanh Son District, Da Nang, 越南"
"Chay Garden (District 3),52 Vo Van Tan Street, Ward 6, District 3, Ho Chi Minh City, 700000, 越南"
"Phở Hoà Pasteur,260C Pasteur Street, Ward 8, District 3, Ho Chi Minh City, 700000, 越南"
"Bún Bò Bà Rơi (Hai Chau),5 Phan Thanh Tai Street, Hoa Thuan Dong Ward, Hai Chau District, Da Nang, 越南"
"Bé Ni 2,228 Vo Nguyen Giap Street, Phuoc My Ward, Son Tra District, Da Nang, 550000, 越南"
"Vị Quê Kitchen,110 Suong Nguyet Anh Street, Ben Thanh Ward, District 1, Ho Chi Minh City, 710000, 越南"
"Bún Bò Huế 14B,14B Street 46, Ward 2, District 4, Ho Chi Minh City, 754000, 越南"
"Cô Chủ Nhỏ,36 Phan Tu Street, My An Ward, Ngu Hanh Son District, Da Nang, 550000, 越南"
"Bếp Mẹ ỉn (Le Thanh Ton Street),136 Le Thanh Ton Street, Ben Thanh Ward, District 1, Ho Chi Minh City, 越南"
"Phở Gà Nguyệt,5B Phu Doan Street, Hang Trong Ward, Hoan Kiem District, Hanoi, 100000, 越南"
"Don Duck Old Quarter,29 Bat Dan Street, Hang Bo Ward, Hoan Kiem District, Hanoi, 越南"
"Habakuk,Alley 4, Phan Huy Chu Street, Phan Chu Trinh Ward, Hoan Kiem District, Hanoi, 越南"
"Năm Hiền (Phan Thanh Street),46 Phan Thanh Street, Thac Gian Ward, Thanh Khe District, Da Nang, 越南"
"1946 Cua Bac,3 Yen Thanh Alley, 61 Cua Bac Street, Quan Thanh Ward, Ba Dinh District, Hanoi, 越南"
"Tuyết Bún Chả 34,34 Hang Than Street, Nguyen Trung Truc Ward, Ba Dinh District, Hanoi, 越南"
"Dim Tu Tac (Dong Du Street),55 Dong Du Street, Ben Nghe Ward, District 1, Ho Chi Minh City, 700000, 越南"
"Phở Bò Ấu Triệu,34 Au Trieu Street, Hang Trong Ward, Hoan Kiem District, Hanoi, 越南"
"Hồng Phát (District 3), 389-391 Vo Van Tan Street, Ward 5, District 3, Ho Chi Minh City, 越南"
"Mr Bảy Miền Tây,79 Hang Dieu Street, Cua Dong Ward, Hoan Kiem District, Hanoi, 越南"
"Luk Lak,4A Le Thanh Tong Street, Phan Chu Trinh Ward, Hoan Kiem District, Hanoi, 越南"
"Tiệm Cơm Thố Chuyên Ký,67 Ton That Dam Street, Ben Nghe Ward, District 1, Ho Chi Minh City, 70000, 越南"
"Phú Hồng,19 Yen Bai Street, Hai Chau 1 Ward, Hai Chau District, Da Nang, 550000, 越南"
"Phở Minh,63/6 Pasteur Street, Ben Nghe Ward, District 1, Ho Chi Minh City, 越南"
"Chả Cá Thăng Long (6B Duong Thanh Street),6B Duong Thanh Street, Cua Dong Ward, Hoan Kiem District, Hanoi, 越南"
"Rang,384 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, Da Nang, 越南"
"Xới Cơm,107, Lane 36, Lang Ha Street, Lang Ha Ward, Dong Da District, Hanoi, 越南"
"Phở Hoàng,460 Nguyen Tri Phuong Street, Ward 9, District 10, Ho Chi Minh City, 越南"
"Cơm Tấm Ba Ghiền,84 Dang Van Ngu Street, Ward 10, Phu Nhuan District, Ho Chi Minh City, 越南"
"Phở 10 Lý Quốc Sư (Hoan Kiem),10 Ly Quoc Su Street, Hang Trong Ward, Hoan Kiem District, Hanoi, 越南"
"Hum Garden,32 D10 Street, Thao Dien Ward, Thu Duc City, Ho Chi Minh City, 700000, 越南"
"Phở Chào,52 Nguyen Cong Tru Street, Ward 19, Binh Thanh District, Ho Chi Minh City, 越南"
"Konoba Malo Selo,Fratrija 1, Buje, 52460, 克羅埃西亞"
"Sol Kitchen & Bar,112 Ly Tu Trong Street, Ben Thanh Ward, District 1, Ho Chi Minh City, 700000, 越南"
"Cuc Gach Quan,10 Dang Tat Street, Tan Dinh Ward, District 1, Ho Chi Minh City, 越南"
"Indian Aroma Restaurant,24 An Thuong 6 Street, My An Ward, Ngu Hanh Son District, Da Nang, 550000, 越南"
"Mỳ Quảng Sứa Hồng Vân,59 Le Hong Phong Street, Phuoc Ninh Ward, Hai Chau District, Da Nang, 越南"
"Izakaya,Selska cesta 90b, Zagreb, 10000, 克羅埃西亞"
"Taj Mahal,Nikole Gučetića 2, Dubrovnik, 20000, 克羅埃西亞"
"Beštija,Masarykova Ulica 11/1, Zagreb, 10000, 克羅埃西亞"
"Fakin,Trg Svetog Trojstva 53, Legrad, 48317, 克羅埃西亞"
"Batelina,Čimulje 25, Banjole, 52100, 克羅埃西亞"
"Tač,Vrhovec 140, Zagreb, 10000, 克羅埃西亞"
"Konoba Vinko,Uz Cestu 57, Konjevrate, 22221, 克羅埃西亞"
"Vuglec Breg,Škaričevo 151, Krapina, 49000, 克羅埃西亞"
"Konoba Mate,Pupnat 28, Korčula, 20260, 克羅埃西亞"
"Lian He Ben Ji Claypot, Chinatown Complex Market & Food Centre, #02-198/199, 335 Smith Street, Singapore, 050335, 新加坡"
"Alla Beccaccia,ul. Pineta 25, Valbandon, 52212, 克羅埃西亞"
"Soon Huat, North Bridge Road Market & Food Centre, #01-105, 861 North Bridge Road, Singapore, 198783, 新加坡"
"Selamat Datang Warong Pak Sapari, Adam Food Centre, #01-09, 2 Adam Road, Singapore, 289876, 新加坡"
"Fei Fei Roasted • Noodle, Yuhua Village Market and Food Centre, #01-28, Blk 254, Jurong East Street 24, Singapore, 600254, 新加坡"
"Fico,1300 East Coast Parkway, Singapore, 468964, 新加坡"
"Zhup Zhup, #01-01, 458 MacPherson Road, Singapore, 368176, 新加坡"
"Fu Ming Cooked Food, Redhill Market, #01-49, 85 Redhill Lane, Singapore, 150085, 新加坡"
"The Coconut Club (Beach Road),269 Beach Road, Singapore, 199546, 新加坡"
